Characteristic,Sex,Race/ethnicity,Year,Percentage,Count,Margin of Error on Percentages (for standard error divide by 1.645),Note
"Total - Living alone, Female, White, non-Hispanic",Female,"White, non-Hispanic",2012,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living alone, Female, White, non-Hispanic",Female,"White, non-Hispanic",2013,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living alone, Female, White, non-Hispanic",Female,"White, non-Hispanic",2014,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living alone, Female, White, non-Hispanic",Female,"White, non-Hispanic",2015,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, White, non-Hispanic",Female,"White, non-Hispanic",2001, 20.7 ,1723,1.7,
"Total - All other living arrangements, Female, White, non-Hispanic",Female,"White, non-Hispanic",2002,21.2,1799,1.2,
"Total - All other living arrangements, Female, White, non-Hispanic",Female,"White, non-Hispanic",2003,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, White, non-Hispanic",Female,"White, non-Hispanic",2004,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, White, non-Hispanic",Female,"White, non-Hispanic",2005,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, White, non-Hispanic",Female,"White, non-Hispanic",2006,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, White, non-Hispanic",Female,"White, non-Hispanic",2007,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, White, non-Hispanic",Female,"White, non-Hispanic",2008,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, White, non-Hispanic",Female,"White, non-Hispanic",2010,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, White, non-Hispanic",Female,"White, non-Hispanic",2011,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, White, non-Hispanic",Female,"White, non-Hispanic",2012,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, White, non-Hispanic",Female,"White, non-Hispanic",2013,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, White, non-Hispanic",Female,"White, non-Hispanic",2014,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, White, non-Hispanic",Female,"White, non-Hispanic",2015,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - White-alone, non-Hispanic",,"White-alone, non-Hispanic",2001,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - White-alone, non-Hispanic",,"White-alone, non-Hispanic",2002,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - White-alone, non-Hispanic",,"White-alone, non-Hispanic",2003,100,17018,,
"Total - White-alone, non-Hispanic",,"White-alone, non-Hispanic",2004,100,17350,,
"Total - White-alone, non-Hispanic",,"White-alone, non-Hispanic",2005,100,17353,,
"Total - White-alone, non-Hispanic",,"White-alone, non-Hispanic",2006,100,17356,,
"Total - White-alone, non-Hispanic",,"White-alone, non-Hispanic",2007,100,17448,,
"Total - White-alone, non-Hispanic",,"White-alone, non-Hispanic",2008,100,17502,,
"Total - White-alone, non-Hispanic",,"White-alone, non-Hispanic",2009,100,17703,,
"Total - White-alone, non-Hispanic",,"White-alone, non-Hispanic",2010,100,17755,,
"Total - White-alone, non-Hispanic",,"White-alone, non-Hispanic",2011,100,17038,,
"Total - White-alone, non-Hispanic",,"White-alone, non-Hispanic",2012,100,17001,,
"Total - White-alone, non-Hispanic",,"White-alone, non-Hispanic",2013,100,16667,,
"Total - White-alone, non-Hispanic",,"White-alone, non-Hispanic",2014,100,16738,,
"Total - White-alone, non-Hispanic",,"White-alone, non-Hispanic",2015,100,16472,,
"Total - Child of householder, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2001,,,,
"Total - Child of householder, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2002,,,,
"Total - Child of householder, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2003,53.1,9043,1.0,
"Total - Child of householder, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2004,53.6,9298,1.0,
"Total - Child of householder, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2005,51.3,8901,1.0,
"Total - Child of householder, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2006,52.8,9155,1.0,
"Total - Child of householder, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2007,52.2,9100,1.0,
"Total - Child of householder, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2008,53.1,9284,1.0,
"Total - Child of householder, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2009,53.0,9388,1.0,
"Total - Child of householder, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2010,53.1,9436,1.0,
"Total - Child of householder, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2011,55.4,9440,1.0,
"Total - Child of householder, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2012,56.0,9523,1.0,
"Total - Child of householder, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2013,55.8,9299,1.0,
"Total - Child of householder, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2014,54.7,9156,1.7,
"Total - Child of householder, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2015,54.6,8998,1.1,
"Total - Living with a spouse, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2001,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living with a spouse, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2002,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living with a spouse, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2003,12.4,2115,0.7,
"Total - Living with a spouse, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2004,12.4,2156,0.7,
"Total - Living with a spouse, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2005,12.4,2158,0.7,
"Total - Living with a spouse, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2006,12.0,2080,0.7,
"Total - Living with a spouse, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2007,11.4,1994,0.6,
"Total - Living with a spouse, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2008,10.0,1750,0.6,
"Total - Living with a spouse, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2009,10.5,1856,0.6,
"Total - Living with a spouse, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2010,10.2,1808,0.6,
"Total - Living with a spouse, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2011,9.4,1597,0.6,
"Total - Living with a spouse, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2012,9.1,1546,0.6,
"Total - Living with a spouse, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2013,8.2,1358,0.6,
"Total - Living with a spouse, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2014,8.3,1382,0.9,
"Total - Living with a spouse, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2015,8.2,1347,0.6,
"Total - Living with an unmarried partner, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2001,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living with an unmarried partner, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2002,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living with an unmarried partner, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2003,8.0,1366,0.6,
"Total - Living with an unmarried partner, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2004,7.8,1355,0.5,
"Total - Living with an unmarried partner, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2005,8.4,1460,0.6,
"Total - Living with an unmarried partner, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2006,7.7,1329,0.5,
"Total - Living with an unmarried partner, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2007,11.5,2009,0.6,
"Total - Living with an unmarried partner, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2008,11.9,2079,0.7,
"Total - Living with an unmarried partner, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2009,10.2,1798,0.6,
"Total - Living with an unmarried partner, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2010,11.0,1949,0.6,
"Total - Living with an unmarried partner, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2011,11.1,1891,0.6,
"Total - Living with an unmarried partner, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2012,11.0,1864,0.6,
"Total - Living with an unmarried partner, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2013,10.9,1810,0.6,
"Total - Living with an unmarried partner, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2014,10.5,1754,1.0,
"Total - Living with an unmarried partner, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2015,12.1,1989,0.8,
"Total - Living alone, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2001,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living alone, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2002,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living alone, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2003,6.1,1042,0.5,
"Total - Living alone, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2004,5.9,1027,0.5,
"Total - Living alone, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2005,5.6,977,0.5,
"Total - Living alone, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2006,6.0,1032,0.5,
"Total - Living alone, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2007,6.1,1063,0.5,
"Total - Living alone, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2008,6.3,1100,0.5,
"Total - Living alone, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2009,5.9,1042,0.5,
"Total - Living alone, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2010,5.1,910,0.4,
"Total - Living alone, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2011,5.0,855,0.4,
"Total - Living alone, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2012,4.7,793,0.4,
"Total - Living alone, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2013,5.6,930,0.5,
"Total - Living alone, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2014,5.8,969,0.8,
"Total - Living alone, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2015,5.4,895,0.5,
