Characteristic,Type of violent crime,Sex of head of household,Race/ethnicity,Year,Percentage,Standard Error on Percentage,Note on Percent,Count,Standard Error on Count,Note on Count
"Total - Violent crime, Female head of household, American Indian or Alaska Native, non-Hispanic",Violent crime,Female head of household,"American Indian or Alaska Native, non-Hispanic",2000,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, American Indian or Alaska Native, non-Hispanic",Violent crime,Female head of household,"American Indian or Alaska Native, non-Hispanic",2001,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, American Indian or Alaska Native, non-Hispanic",Violent crime,Female head of household,"American Indian or Alaska Native, non-Hispanic",2002,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, American Indian or Alaska Native, non-Hispanic",Violent crime,Female head of household,"American Indian or Alaska Native, non-Hispanic",2003,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, American Indian or Alaska Native, non-Hispanic",Violent crime,Female head of household,"American Indian or Alaska Native, non-Hispanic",2004,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, American Indian or Alaska Native, non-Hispanic",Violent crime,Female head of household,"American Indian or Alaska Native, non-Hispanic",2005,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, American Indian or Alaska Native, non-Hispanic",Violent crime,Female head of household,"American Indian or Alaska Native, non-Hispanic",2006,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, American Indian or Alaska Native, non-Hispanic",Violent crime,Female head of household,"American Indian or Alaska Native, non-Hispanic",2007,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, American Indian or Alaska Native, non-Hispanic",Violent crime,Female head of household,"American Indian or Alaska Native, non-Hispanic",2008,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, American Indian or Alaska Native, non-Hispanic",Violent crime,Female head of household,"American Indian or Alaska Native, non-Hispanic",2009,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, American Indian or Alaska Native, non-Hispanic",Violent crime,Female head of household,"American Indian or Alaska Native, non-Hispanic",2010,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, American Indian or Alaska Native, non-Hispanic",Violent crime,Female head of household,"American Indian or Alaska Native, non-Hispanic",2011,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, American Indian or Alaska Native, non-Hispanic",Violent crime,Female head of household,"American Indian or Alaska Native, non-Hispanic",2012,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, American Indian or Alaska Native, non-Hispanic",Violent crime,Female head of household,"American Indian or Alaska Native, non-Hispanic",2013,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, American Indian or Alaska Native, non-Hispanic",Violent crime,Female head of household,"American Indian or Alaska Native, non-Hispanic",2014,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Asian or Pacific Islander, non-Hispanic",Violent crime,Female head of household,"Asian or Pacific Islander, non-Hispanic",2000,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Asian or Pacific Islander, non-Hispanic",Violent crime,Female head of household,"Asian or Pacific Islander, non-Hispanic",2001,5.3,1.46,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,57710,17067.7713,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Asian or Pacific Islander, non-Hispanic",Violent crime,Female head of household,"Asian or Pacific Islander, non-Hispanic",2002,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Asian or Pacific Islander, non-Hispanic",Violent crime,Female head of household,"Asian or Pacific Islander, non-Hispanic",2003,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Asian or Pacific Islander, non-Hispanic",Violent crime,Female head of household,"Asian or Pacific Islander, non-Hispanic",2004,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Asian or Pacific Islander, non-Hispanic",Violent crime,Female head of household,"Asian or Pacific Islander, non-Hispanic",2005,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Asian or Pacific Islander, non-Hispanic",Violent crime,Female head of household,"Asian or Pacific Islander, non-Hispanic",2006,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Asian or Pacific Islander, non-Hispanic",Violent crime,Female head of household,"Asian or Pacific Islander, non-Hispanic",2007,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Asian or Pacific Islander, non-Hispanic",Violent crime,Female head of household,"Asian or Pacific Islander, non-Hispanic",2008,6.3,1.79,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,90410,27754.6889,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Asian or Pacific Islander, non-Hispanic",Violent crime,Female head of household,"Asian or Pacific Islander, non-Hispanic",2009,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Asian or Pacific Islander, non-Hispanic",Violent crime,Female head of household,"Asian or Pacific Islander, non-Hispanic",2010,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Asian or Pacific Islander, non-Hispanic",Violent crime,Female head of household,"Asian or Pacific Islander, non-Hispanic",2011,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Asian or Pacific Islander, non-Hispanic",Violent crime,Female head of household,"Asian or Pacific Islander, non-Hispanic",2012,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Asian or Pacific Islander, non-Hispanic",Violent crime,Female head of household,"Asian or Pacific Islander, non-Hispanic",2013,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Asian or Pacific Islander, non-Hispanic",Violent crime,Female head of household,"Asian or Pacific Islander, non-Hispanic",2014,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Two or more races, non-Hispanic",Violent crime,Female head of household,"Two or more races, non-Hispanic",2000,,,Not available. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Not available. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Two or more races, non-Hispanic",Violent crime,Female head of household,"Two or more races, non-Hispanic",2001,,,Not available. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Not available. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Two or more races, non-Hispanic",Violent crime,Female head of household,"Two or more races, non-Hispanic",2002,,,Not available. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Not available. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Two or more races, non-Hispanic",Violent crime,Female head of household,"Two or more races, non-Hispanic",2003,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Two or more races, non-Hispanic",Violent crime,Female head of household,"Two or more races, non-Hispanic",2004,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Two or more races, non-Hispanic",Violent crime,Female head of household,"Two or more races, non-Hispanic",2005,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Two or more races, non-Hispanic",Violent crime,Female head of household,"Two or more races, non-Hispanic",2006,18.8,4.41,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,77850,21835.3216,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Two or more races, non-Hispanic",Violent crime,Female head of household,"Two or more races, non-Hispanic",2007,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Two or more races, non-Hispanic",Violent crime,Female head of household,"Two or more races, non-Hispanic",2008,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Two or more races, non-Hispanic",Violent crime,Female head of household,"Two or more races, non-Hispanic",2009,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Two or more races, non-Hispanic",Violent crime,Female head of household,"Two or more races, non-Hispanic",2010,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Two or more races, non-Hispanic",Violent crime,Female head of household,"Two or more races, non-Hispanic",2011,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Two or more races, non-Hispanic",Violent crime,Female head of household,"Two or more races, non-Hispanic",2012,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Violent crime, Female head of household, Two or more races, non-Hispanic",Violent crime,Female head of household,"Two or more races, non-Hispanic",2013,18.9,4.34,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",87320,25068.2085,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Violent crime, Female head of household, Two or more races, non-Hispanic",Violent crime,Female head of household,"Two or more races, non-Hispanic",2014,15,3.97,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",67680,20820.0085,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male",Serious violent crime,Male,,2000,2,0.25,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",781950,99636.2991,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male",Serious violent crime,Male,,2001,1.8,0.21,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",687810,84118.3960,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male",Serious violent crime,Male,,2002,1.2,0.19,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",449710,72272.9034,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male",Serious violent crime,Male,,2003,1.4,0.2,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",537760,77387.5504,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male",Serious violent crime,Male,,2004,1.5,0.19,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",549180,71029.5914,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male",Serious violent crime,Male,,2005,1.5,0.21,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",554580,79806.3315,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male",Serious violent crime,Male,,2006,2,0.25,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",667730,87281.1915,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male",Serious violent crime,Male,,2007,1.6,0.22,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",544330,78904.9902,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male",Serious violent crime,Male,,2008,1.2,0.21,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",409880,71009.3850,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male",Serious violent crime,Male,,2009,1.4,0.24,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",440450,79097.3032,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male",Serious violent crime,Male,,2010,1,0.18,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",306010,58504.4491,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male",Serious violent crime,Male,,2011,1.4,0.21,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",416940,65562.5828,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male",Serious violent crime,Male,,2012,1.3,0.19,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",407380,60942.4543,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male",Serious violent crime,Male,,2013,1.3,0.22,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",390350,70697.5433,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male",Serious violent crime,Male,,2014,1,0.18,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",300840,54289.1451,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
